message,EN,ES,FR,DE
title_msg,"Imagined Finger Sequence Task
(iFST)","Tarea de Secuencia de Dedos Imaginada
(TSDi)","Tâche de séquence de doigts imaginée
(TSDi)","Vorgestellte Fingersequenzaufgabe
(iFST)"
welcome_msg,"Welcome to the task!

The goal of this task is to assess your ability to imagine finger movements.","Bienvenido/a a la tarea!

El objetivo de esta tarea es valorar tu capacidad para imaginar movimientos con los dedos.","Bienvenue dans cette tâche !

L'objectif de cette tâche est d'évaluer votre capacité à imaginer les mouvements des doigts.",Willkommen zur Aufgabe!
adv_msg,Press SPACE to continue,Presiona ESPACIO para continuar,Appuyez sur ESPACE pour continuer,"Leertaste drücken, um fortzufahren"
bye_msg,"You have finished the experiment

Thank you very much for taking part!

The experiment will close in 3 seconds","Has terminado el experimento

Gracias por participar!

El experimento se cerrará en 3 segundos","Vous avez terminé l'expérience.

Merci beaucoup d'y avoir participé !

L'expérience se terminera dans 3 secondes.","Sie haben das Experiment abgeschlossen.

Vielen Dank für Ihre Teilnahme!

Das Experiment wird in 3 Sekunden beendet."
correct_msg,Correct,Correcto,Correct,Richtig
incorrect_msg,Incorrect,Incorrecto,Incorrect,Falsch
time_msg,Time,Tiempo,Temps,Zeit
seconds_msg,seconds,segundos,seconds,Sekunden
block_first_msg,"You are going to start the practice part.

The goal is to type the sequences correctly, and familiarise with the difference between execution and imagery.

At this stage, it is critical that you respond correctly as indicated.

You will not progress to the next part until you respond correctly to all sequences in both execution and imagery.","Vas a empezar la parte de práctica.

El objetivo es escribir las secuencias correctamente, y familiarizarte con la diferencia entre ejecución e imaginación.

En este punto, es fundamental que responsas correctamente como se indica.

No avanzarás a la siguiente parte hasta que hayas respondido correctamente a todas las secuencias tanto en ejecución como imaginación.","Vous allez commencer la partie pratique.

L'objectif est de taper correctement les séquences et de vous familiariser avec la différence entre l'exécution et l'imagerie.

À ce stade, il est essentiel que vous répondiez correctement comme indiqué.

Vous ne passerez à la partie suivante que lorsque vous aurez répondu correctement à toutes les séquences, tant en termes d'exécution que d'imagerie.","Sie beginnen nun mit dem Übungsteil.

Ziel ist es, die Sequenzen korrekt einzugeben und sich mit dem Unterschied zwischen Ausführung und Vorstellung vertraut zu machen.

In dieser Phase ist es entscheidend, dass Sie wie angegeben korrekt reagieren."
block_intro_task_msg,"Now that you have practiced, you will go through the task itself.

Remember your FIRST PRIORITY is to respond ACCURATELY.

Your SECOND PRIORITY is to complete the sequence as QUICKLY AS POSSIBLE.

In this part, you will not have feedback on your performance, but you will not you have finished a trial because the screen will change.","Ahora que has practicado, vas a hacer la tarea como tal.

Recuerda que tu PRIMERA PRIORIDAD es responder de manera CORRECTA.

Tu SEGUNDA PRIORIDAD es completar la secuencia LO MÁS RÁPIDO POSIBLE.

En esta parte, no tendrás feedback. No habrás finalizado el trial hasta que no veas que la pantalla cambia.","Maintenant que vous vous êtes entraîné, vous allez passer à la tâche proprement dite.

N'oubliez pas que votre PREMIÈRE PRIORITÉ est de répondre avec PRÉCISION.

Votre DEUXIÈME PRIORITÉ est de terminer la séquence le PLUS RAPIDEMENT POSSIBLE.

Dans cette partie, vous n'aurez pas de retour sur vos performances, mais vous saurez que vous avez terminé un essai car l'écran changera.","Sie gelangen erst dann zum nächsten Teil, wenn Sie alle Sequenzen sowohl in der Ausführung als auch in der Vorstellung korrekt beantwortet haben.

Nachdem Sie nun geübt haben, beginnen Sie mit der eigentlichen Aufgabe.

Denken Sie daran: Ihre ERSTE PRIORITÄT ist es, GENAU zu antworten.

Ihre ZWEITE PRIORITÄT ist es, die Sequenz so SCHNELL WIE MÖGLICH abzuschließen.

In diesem Teil erhalten Sie kein Feedback zu Ihrer Leistung, aber Sie erkennen das Ende eines Durchgangs daran, dass sich der Bildschirm ändert."
