hand,inst_pic,image_w,image_h,text_x,inst_msg_EN,inst_msg_ES,inst_msg_FR,inst_msg_DE
right,images/seq_right.png,0,0,0,"In this task you will type or imagine typing two 8-digit sequences with your RIGHT hand. Sometimes you will PHYSICALLY type the sequence. Other times you will only IMAGINE typing the sequence. During imagery, you will be asked to focus on BOTH the: 

VISUAL aspects of the movement (i.e. imagining SEEING your fingers moving from an INTERNAL point of view or FIRST-PERSON perspective)

KINESTHETIC aspects of the movement (i.e. imagining FEELING your muscles contracting and your joints moving)

Please, always aim to focus on BOTH ASPECTS AT THE SAME TIME, even if it is not natural to do so. If you found it difficult, after the task you will have the option to explain your experience.","En esta tarea, escribirás o imaginarás escribir dos secuencias de 8 dígitos con tu mano DERECHA. A veces escribirás FÍSICAMENTE la secuencia. Otras veces solo IMAGINARÁS escribir la secuencia. Durante la imaginación, se te pedirá que te concentres tanto en los: 

aspectos VISUALES del movimiento (es decir, imaginar VER cómo se mueven tus dedos desde un punto de vista INTERNO o una perspectiva en PRIMERA PERSONA)

aspectos CINESTÉSICOS del movimiento (es decir, imaginar SENTIR cómo se contraen tus músculos y se mueven tus articulaciones).

Por favor, intenta siempre concentrarte en AMBOS ASPECTOS AL MISMO TIEMPO, aunque no te resulte natural. Si te resulta difícil, después de la tarea tendrás la opción de explicar tu experiencia.","Dans cette tâche, vous devrez taper ou imaginer taper deux séquences de 8 chiffres avec votre main DROITE. Parfois, vous taperez PHYSIQUEMENT la séquence. D'autres fois, vous vous contenterez d'IMAGINER taper la séquence. Pendant l'imagerie, on vous demandera de vous concentrer à la fois sur : 

les aspects VISUELS du mouvement (c'est-à-dire imaginer VOIR vos doigts bouger d'un point de vue INTERNE ou à la PREMIÈRE PERSONNE)

les aspects KINESTHÉTIQUES du mouvement (c'est-à-dire imaginer que vous SENTEZ vos muscles se contracter et vos articulations bouger)

Veuillez toujours essayer de vous concentrer sur LES DEUX ASPECTS EN MÊME TEMPS, même si cela ne vous semble pas naturel. Si vous avez trouvé cela difficile, vous aurez la possibilité d'expliquer votre expérience après l'exercice.","In dieser Aufgabe werden Sie mit Ihrer RECHTEN Hand zwei 8-stellige Sequenzen tippen oder sich vorstellen, diese zu tippen. Manchmal werden Sie die Sequenz PHYSISCH tippen. Manchmal werden Sie sich das Tippen der Sequenz nur VORSTELLEN. Während der Vorstellung werden Sie gebeten, sich auf BEIDE der folgenden Aspekte zu konzentrieren:

VISUELLE Aspekte der Bewegung (d. h. sich vorzustellen, wie Sie Ihre Finger aus einer INTERNEN Perspektive bzw. aus der ICH-PERSPEKTIVE bewegen)

KINÄSTHETISCHE Aspekte der Bewegung (d. h. sich vorzustellen, wie sich das Zussammenziehen Ihrer Muskeln und Bewegen Ihrer Gelenke anfühlt)

Bitte versuchen Sie immer, sich auf BEIDE ASPEKTE GLEICHZEITIG zu konzentrieren, auch wenn sich dies nicht natürlich anfühlt. Falls Ihnen dies schwergefallen ist, haben Sie nach der Aufgabe die Möglichkeit, Ihre Erfahrung zu erläutern."
left,images/seq_left.png,0,0,0,"In this task you will type or imagine typing two 8-digit sequences with your LEFT hand. Sometimes you will PHYSICALLY type the sequence. Other times you will only IMAGINE typing the sequence. During imagery, you will be asked to focus on BOTH the: 

VISUAL aspects of the movement (i.e. imagining SEEING your fingers moving from an INTERNAL point of view or FIRST-PERSON perspective)

KINESTHETIC aspects of the movement (i.e. imagining FEELING your muscles contracting and your joints moving)

Please, always aim to focus on BOTH ASPECTS AT THE SAME TIME, even if it is not natural to do so. If you found it difficult, after the task you will have the option to explain your experience.","En esta tarea, escribirás o imaginarás escribir dos secuencias de 8 dígitos con tu mano IZQUIERDA. A veces escribirás FÍSICAMENTE la secuencia. Otras veces solo IMAGINARÁS escribir la secuencia. Durante la imaginación, se te pedirá que te concentres tanto en los: 

aspectos VISUALES del movimiento (es decir, imaginar VER cómo se mueven tus dedos desde un punto de vista INTERNO o una perspectiva en PRIMERA PERSONA)

aspectos CINESTÉSICOS del movimiento (es decir, imaginar SENTIR cómo se contraen tus músculos y se mueven tus articulaciones).

Por favor, intenta siempre concentrarte en AMBOS ASPECTOS AL MISMO TIEMPO, aunque no te resulte natural. Si te resulta difícil, después de la tarea tendrás la opción de explicar tu experiencia.","Dans cette tâche, vous devrez taper ou imaginer taper deux séquences de 8 chiffres avec votre main GAUCHE. Parfois, vous taperez PHYSIQUEMENT la séquence. D'autres fois, vous vous contenterez d'IMAGINER taper la séquence. Pendant l'imagerie, on vous demandera de vous concentrer à la fois sur : 

les aspects VISUELS du mouvement (c'est-à-dire imaginer VOIR vos doigts bouger d'un point de vue INTERNE ou à la PREMIÈRE PERSONNE)

les aspects KINESTHÉTIQUES du mouvement (c'est-à-dire imaginer que vous SENTEZ vos muscles se contracter et vos articulations bouger)

Veuillez toujours essayer de vous concentrer sur LES DEUX ASPECTS EN MÊME TEMPS, même si cela ne vous semble pas naturel. Si vous avez trouvé cela difficile, vous aurez la possibilité d'expliquer votre expérience après l'exercice.","In dieser Aufgabe werden Sie mit Ihrer LINKEN Hand zwei 8-stellige Sequenzen tippen oder sich vorstellen, diese zu tippen. Manchmal werden Sie die Sequenz PHYSISCH tippen. Manchmal werden Sie sich das Tippen der Sequenz nur VORSTELLEN. Während der Vorstellung werden Sie gebeten, sich auf BEIDE der folgenden Aspekte zu konzentrieren:

VISUELLE Aspekte der Bewegung (d. h. sich vorzustellen, wie Sie Ihre Finger aus einer INTERNEN Perspektive bzw. aus der ICH-PERSPEKTIVE bewegen)

KINÄSTHETISCHE Aspekte der Bewegung (d. h. sich vorzustellen, wie sich das Zussammenziehen Ihrer Muskeln und Bewegen Ihrer Gelenke anfühlt)

Bitte versuchen Sie immer, sich auf BEIDE ASPEKTE GLEICHZEITIG zu konzentrieren, auch wenn sich dies nicht natürlich anfühlt. Falls Ihnen dies schwergefallen ist, haben Sie nach der Aufgabe die Möglichkeit, Ihre Erfahrung zu erläutern."
right,images/seq_right.png,0.5,0.4,-0.3,"For the task you will use the four fingers of your dominant hand.

Please place your right hand on the keyboard with your fingers on the buttons shown:

F = Index
G = Middle
H = Ring
J = Little

Throughout the task, please maintain your hand in this position.","Para realizar la tarea, utilizarás los cuatro dedos de tu mano dominante.

Coloca tu mano derecha sobre el teclado con los dedos sobre las teclas que se indican a continuación:

F = Índice
G = Medio
H = Anular
J = Meñique

Mantén la mano en esta posición durante toda la tarea.","Pour cette tâche, vous utiliserez les quatre doigts de votre main dominante.

Veuillez placer votre main droite sur le clavier, les doigts sur les touches indiquées :

F = Index
G = Majeur
H = Annulaire
J = Petit doigt

Tout au long de la tâche, veuillez maintenir votre main dans cette position.","Für die Aufgabe verwenden Sie die vier Finger Ihrer dominanten Hand.

Bitte legen Sie Ihre rechte Hand auf die Tastatur, wobei Ihre Finger auf den angezeigten Tasten liegen:

F = Zeigefinger
G = Mittelfinger
H = Ringfinger
J = Kleiner Finger

Bitte halten Sie während der gesamten Aufgabe Ihre Hand in dieser Position."
left,images/seq_left.png,0.5,0.4,-0.3,"For the task you will use the four fingers of your dominant hand.

Please place your left hand on the keyboard with your fingers on the buttons shown:

J = Index
H = Middle
G = Ring
F = Little

Throughout the task, please maintain your hand in this position.","Para realizar la tarea, utilizarás los cuatro dedos de tu mano dominante.

Coloca tu mano izquierda sobre el teclado con los dedos sobre las teclas que se indican a continuación:

J = Índice
H = Medio
G = Anular
F = Meñique

Mantén la mano en esta posición durante toda la tarea.","Pour cette tâche, vous utiliserez les quatre doigts de votre main dominante.

Veuillez placer votre main gauche sur le clavier, les doigts sur les touches indiquées :

J = Index
H = Majeur
G = Annulaire
F = Petit doigt

Tout au long de la tâche, veuillez maintenir votre main dans cette position.","Für die Aufgabe verwenden Sie die vier Finger Ihrer dominanten Hand.

Bitte legen Sie Ihre linke Hand auf die Tastatur, wobei Ihre Finger auf den angezeigten Tasten liegen:

J = Zeigefinger
H = Mittelfinger
G = Ringfinger
F = Kleiner Finger

Bitte halten Sie während der gesamten Aufgabe Ihre Hand in dieser Position."
right,images/seq_simple_right.png,0.5,0.4,-0.3,"This is an example sequence. DO NOT practice the sequence at this stage.

In the image, you can see that each black dot corresponds to a key press. The black line indicates what should be next key press.

In the case of this sequence, the correct order would be:

Index-Middle-Ring-Little-Little-Ring-Middle-Index","Esta es una secuencia de ejemplo. NO practiques la secuencia en este momento.

En la imagen, puedes ver que cada punto negro corresponde a una pulsación de tecla. La línea negra indica cuál debería ser la siguiente.

En el caso de esta secuencia, el orden correcto sería:

Índice-Medio-Anular-Meñique-Meñique-Anular-Medio-Índice","Il s'agit d'un exemple de séquence. NE pratiquez PAS la séquence à ce stade.

Sur l'image, vous pouvez voir que chaque point noir correspond à une pression sur une touche. La ligne noire indique la touche sur laquelle vous devez appuyer ensuite.

Dans le cas de cette séquence, l'ordre correct serait :

Index-Majeur-Annulaire-Auriculaire-Annulaire-Majeur-Index","Dies ist eine Beispielsequenz. ÜBEN Sie die Sequenz zu diesem Zeitpunkt NICHT.

Im Bild können Sie sehen, dass jeder schwarze Punkt einem Tastendruck entspricht. Die schwarze Linie zeigt an, welcher Tastendruck als Nächstes erfolgen sollte.

Im Fall dieser Sequenz wäre die korrekte Reihenfolge:

Zeigefinger-Mittelfinger-Ringfinger-Kleiner Finger-Kleiner Finger-Ringfinger-Mittelfinger-Zeigefinger"
left,images/seq_simple_left.png,0.5,0.4,-0.3,"This is an example sequence. DO NOT practice the sequence at this stage.

In the image, you can see that each black dot corresponds to a key press. The black line indicates what should be next key press.

In the case of this sequence, the correct order would be:

Index-Middle-Ring-Little-Little-Ring-Middle-Index","Esta es una secuencia de ejemplo. NO practiques la secuencia en este momento.

En la imagen, puedes ver que cada punto negro corresponde a una pulsación de tecla. La línea negra indica cuál debería ser la siguiente.

En el caso de esta secuencia, el orden correcto sería:

Índice-Medio-Anular-Meñique-Meñique-Anular-Medio-Índice","Il s'agit d'un exemple de séquence. NE pratiquez PAS la séquence à ce stade.

Sur l'image, vous pouvez voir que chaque point noir correspond à une pression sur une touche. La ligne noire indique la touche sur laquelle vous devez appuyer ensuite.

Dans le cas de cette séquence, l'ordre correct serait :

Index-Majeur-Annulaire-Auriculaire-Annulaire-Majeur-Index","Dies ist eine Beispielsequenz. ÜBEN Sie die Sequenz zu diesem Zeitpunkt NICHT.

Im Bild können Sie sehen, dass jeder schwarze Punkt einem Tastendruck entspricht. Die schwarze Linie zeigt an, welcher Tastendruck als Nächstes erfolgen sollte.

Im Fall dieser Sequenz wäre die korrekte Reihenfolge:

Zeigefinger-Mittelfinger-Ringfinger-Kleiner Finger-Kleiner Finger-Ringfinger-Mittelfinger-Zeigefinger"
right,images/seq_complex_right.png,0.5,0.4,-0.3,"This is another example of a sequence. DO NOT practice the sequence at this stage.

Here the correct order would be:

Index-Little-Middle-Ring-Ring-Middle-Little-Index","Este es otro ejemplo de secuencia. NO practiques la secuencia en esta etapa.

Aquí, el orden correcto sería:

Índice-Meñique-Medio-Anular-Anular-Medio-Meñique-Índice","Voici un autre exemple de séquence. NE pratiquez PAS la séquence à ce stade.

Ici, l'ordre correct serait :

Index-Petit-Majeur-Annulaire-Annulaire-Majeur-Petit-Index","Dies ist ein weiteres Beispiel für eine Sequenz. ÜBEN Sie die Sequenz zu diesem Zeitpunkt NICHT.

Hier wäre die korrekte Reihenfolge:

Zeigefinger-Kleiner Finger-Mittelfinger-Ringfinger-Ringfinger-Mittelfinger-Kleiner Finger-Zeigefinger"
left,images/seq_complex_left.png,0.5,0.4,-0.3,"This is another example of a sequence. DO NOT practice the sequence at this stage.

Here the correct order would be:

Index-Little-Middle-Ring-Ring-Middle-Little-Index","Este es otro ejemplo de secuencia. NO practiques la secuencia en esta etapa.

Aquí, el orden correcto sería:

Índice-Meñique-Medio-Anular-Anular-Medio-Meñique-Índice","Voici un autre exemple de séquence. NE pratiquez PAS la séquence à ce stade.

Ici, l'ordre correct serait :

Index-Petit-Majeur-Annulaire-Annulaire-Majeur-Petit-Index","Dies ist ein weiteres Beispiel für eine Sequenz. ÜBEN Sie die Sequenz zu diesem Zeitpunkt NICHT.

Hier wäre die korrekte Reihenfolge:

Zeigefinger-Kleiner Finger-Mittelfinger-Ringfinger-Ringfinger-Mittelfinger-Kleiner Finger-Zeigefinger"
right,images/seq_execution_right.png,0.6,0.5,-0.3,"When you are PHYSICALLY executing the sequence, you will have to press all the keys to finish the trial.

You will see these images in this case.","Cuando estés ejecutando FÍSICAMENTE la secuencia, tendrás que pulsar todas las teclas para terminar ese intento.

En este caso, verás estas imágenes.","Lorsque vous exécutez PHYSIQUEMENT la séquence, vous devrez appuyer sur toutes les touches pour terminer l'essai.

Dans ce cas, vous verrez ces images.","Wenn Sie die Sequenz PHYSISCH AUSFÜHREN, müssen Sie alle Tasten drücken, um den Durchgang zu beenden.

Sie sehen in diesem Fall diese Bilder."
left,images/seq_execution_left.png,0.6,0.5,-0.3,"When you are PHYSICALLY executing the sequence, you will have to press all the keys to finish the trial.

You will see these images in this case.","Cuando estés ejecutando FÍSICAMENTE la secuencia, tendrás que pulsar todas las teclas para terminar ese intento.

En este caso, verás estas imágenes.","Lorsque vous exécutez PHYSIQUEMENT la séquence, vous devrez appuyer sur toutes les touches pour terminer l'essai.

Dans ce cas, vous verrez ces images.","Wenn Sie die Sequenz PHYSISCH AUSFÜHREN, müssen Sie alle Tasten drücken, um den Durchgang zu beenden.

Sie sehen in diesem Fall diese Bilder."
